"species","family","respiration_rate_gC_per_d","individual_mass_g","temperature_celsius","habitat","reef"
"Catostomus tahoensis","Catostomidae",94,53.09,286.15,"Freshwater","no"
"Catostomus tahoensis","Catostomidae",172,31.68,291.15,"Freshwater","no"
"Centropristis striata","Serranidae",615,41,293.15,"Marine","yes"
"Chaenocephalus aceratus","Channichthyidae",28,1000,273.65,"Marine","no"
"Chaenocephalus aceratus","Channichthyidae",36,1432,274.15,"Marine","no"
"Chaenocephalus aceratus","Channichthyidae",45,1000,274.25,"Marine","no"
"Channa marulius","Channidae",40,93,303.15,"Freshwater","no"
"Channa marulius","Channidae",50,15,303.15,"Freshwater","no"
"Channa marulius","Channidae",55,17.5,303.15,"Freshwater","no"
"Channa marulius","Channidae",58,13,303.15,"Freshwater","no"
"Channa marulius","Channidae",60,93,303.15,"Freshwater","no"
"Channa marulius","Channidae",63,19,303.15,"Freshwater","no"
"Channa marulius","Channidae",66,93,303.15,"Freshwater","no"
"Channa marulius","Channidae",68,93,303.15,"Freshwater","no"
"Channa marulius","Channidae",70,93,303.15,"Freshwater","no"
"Channa marulius","Channidae",78,16.5,303.15,"Freshwater","no"
"Channa marulius","Channidae",83,14.5,303.15,"Freshwater","no"
"Channa marulius","Channidae",83,17,303.15,"Freshwater","no"
"Channa marulius","Channidae",84,12.5,303.15,"Freshwater","no"
"Channa marulius","Channidae",86,93,303.15,"Freshwater","no"
"Channa marulius","Channidae",95,11,303.15,"Freshwater","no"
"Channa marulius","Channidae",98,16,303.15,"Freshwater","no"
"Channa orientalis","Channidae",53,30,303.15,"Freshwater","no"
"Channa orientalis","Channidae",72,30,303.15,"Freshwater","no"
"Channa orientalis","Channidae",76,20.5,301.15,"Freshwater","no"
"Channa orientalis","Channidae",94,30,303.15,"Freshwater","no"
"Channa orientalis","Channidae",100,30,303.15,"Freshwater","no"
"Channa orientalis","Channidae",107,30,303.15,"Freshwater","no"
"Channa orientalis","Channidae",123,30,303.15,"Freshwater","no"
"Channa punctata","Channidae",18,12.5,299.15,"Freshwater","no"
"Channa punctata","Channidae",19,12.5,299.15,"Freshwater","no"
"Channa punctata","Channidae",19,12.5,299.15,"Freshwater","no"
"Channa punctata","Channidae",20,12.5,299.15,"Freshwater","no"
"Channa punctata","Channidae",57,93,303.15,"Freshwater","no"
"Channa punctata","Channidae",59,93,303.15,"Freshwater","no"
"Channa punctata","Channidae",59,93,303.15,"Freshwater","no"
"Channa punctata","Channidae",66,93,303.15,"Freshwater","no"
"Channa punctata","Channidae",67,93,303.15,"Freshwater","no"
"Channa punctata","Channidae",74,93,303.15,"Freshwater","no"
"Channa punctata","Channidae",154,0.95,301.15,"Freshwater","no"
"Channa punctata","Channidae",178,0.54,301.15,"Freshwater","no"
"Channa punctata","Channidae",182,0.63,301.15,"Freshwater","no"
"Channa punctata","Channidae",188,0.97,301.15,"Freshwater","no"
"Channa punctata","Channidae",197,0.5,301.15,"Freshwater","no"
"Channa punctata","Channidae",207,0.7,301.15,"Freshwater","no"
"Channa punctata","Channidae",227,0.37,301.15,"Freshwater","no"
"Channa punctata","Channidae",247,0.27,301.15,"Freshwater","no"
"Channa punctata","Channidae",336,0.12,301.15,"Freshwater","no"
"Channa punctata","Channidae",365,0.21,301.15,"Freshwater","no"
"Channa punctata","Channidae",395,0.1,301.15,"Freshwater","no"
"Channa punctata","Channidae",395,0.14,301.15,"Freshwater","no"
"Channa punctata","Channidae",454,0.06,301.15,"Freshwater","no"
"Channa punctata","Channidae",503,0.04,301.15,"Freshwater","no"
"Channa punctata","Channidae",572,0.07,301.15,"Freshwater","no"
"Channa punctata","Channidae",577,0.06,301.15,"Freshwater","no"
"Channa punctata","Channidae",701,0.02,301.15,"Freshwater","no"
"Channa punctata","Channidae",730,0.07,301.15,"Freshwater","no"
"Channa punctata","Channidae",829,0.02,301.15,"Freshwater","no"
"Channa punctata","Channidae",847,0.07,301.15,"Freshwater","no"
"Channa punctata","Channidae",859,0.01,301.15,"Freshwater","no"
"Channa punctata","Channidae",957,0.07,301.15,"Freshwater","no"
"Channa punctata","Channidae",1007,0.01,301.15,"Freshwater","no"
"Channa punctata","Channidae",1411,0.01,301.15,"Freshwater","no"
"Channa striata","Channidae",42,82,303.15,"Freshwater","no"
"Channa striata","Channidae",44,82,303.15,"Freshwater","no"
"Channa striata","Channidae",56,20,303.15,"Freshwater","no"
"Channa striata","Channidae",57,82,303.15,"Freshwater","no"
"Channa striata","Channidae",86,82,303.15,"Freshwater","no"
"Channa striata","Channidae",92,82,303.15,"Freshwater","no"
"Channa striata","Channidae",101,82,303.15,"Freshwater","no"
"Channa striata","Channidae",981,0.01,301.15,"Freshwater","no"
"Channa striata","Channidae",1310,0.01,301.15,"Freshwater","no"
"Channa striata","Channidae",1493,0.01,301.15,"Freshwater","no"
"Channichthys rhinoceratus","Channichthyidae",68,200,278.65,"Marine","no"
"Channichthys rhinoceratus","Channichthyidae",80,200,278.05,"Marine","no"
"Chanos chanos","Chanidae",692,0.7,298.15,"Marine","no"
"Chanos chanos","Chanidae",767,2.1,298.15,"Marine","no"
"Chanos chanos","Chanidae",823,0.7,298.15,"Marine","no"
"Chanos chanos","Chanidae",845,6.3,298.15,"Marine","no"
"Chanos chanos","Chanidae",879,2.1,298.15,"Marine","no"
"Chanos chanos","Chanidae",882,11,298.15,"Marine","no"
"Chanos chanos","Chanidae",903,11,302.15,"Marine","no"
"Chanos chanos","Chanidae",947,11,302.15,"Marine","no"
"Chanos chanos","Chanidae",949,6.3,298.15,"Marine","no"
"Chanos chanos","Chanidae",967,11,298.15,"Marine","no"
"Chanos chanos","Chanidae",992,6.3,302.15,"Marine","no"
"Chanos chanos","Chanidae",1052,6.3,302.15,"Marine","no"
"Chanos chanos","Chanidae",1187,2.1,302.15,"Marine","no"
"Chanos chanos","Chanidae",1298,2.1,302.15,"Marine","no"
"Chanos chanos","Chanidae",1439,0.7,302.15,"Marine","no"
"Chanos chanos","Chanidae",1568,0.7,302.15,"Marine","no"
"Chelon macrolepis","Mugilidae",262,6,302.15,"Marine","no"
"Chiasmodon niger","Chiasmodontidae",39,76.6,275.65,"Marine","no"
"Chromis chromis","Pomacentridae",133,10.4,289.15,"Marine","yes"
"Chromis chromis","Pomacentridae",149,0.08,297.15,"Marine","yes"
"Chromis chromis","Pomacentridae",356,13.2,295.55,"Marine","yes"
"Chromis chromis","Pomacentridae",529,1.56,296.55,"Marine","yes"
"Cichlasoma bimaculatum","Cichlidae",59,11,295.15,"Freshwater","no"
"Cichlasoma bimaculatum","Cichlidae",59,66,293.15,"Freshwater","no"
"Cichlasoma bimaculatum","Cichlidae",73,5,293.15,"Freshwater","no"
"Cichlasoma bimaculatum","Cichlidae",84,83,303.15,"Freshwater","no"
"Cichlasoma bimaculatum","Cichlidae",104,5,303.15,"Freshwater","no"
"Cichlasoma bimaculatum","Cichlidae",154,11,305.15,"Freshwater","no"
"Cichlasoma bimaculatum","Cichlidae",214,5,300.15,"Freshwater","no"
"Cichlasoma bimaculatum","Cichlidae",300,5,305.15,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",45,1821,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",49,1213,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",68,246,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",69,224,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",71,198,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",73,180,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",74,160,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",74,160,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",75,149,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",76,142,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",77,135,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",78,3.4,293.15,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",78,125,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",78,1821,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",79,121,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",82,97,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",85,1213,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",85,84,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",88,71,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",89,67,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",91,59,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",93,52,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",95,48,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",98,42,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",102,3.4,303.15,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",103,32.5,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",104,31,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",109,24,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",110,24,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",114,246,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",116,224,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",121,180,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",123,180,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",124,155,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",124,160,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",125,149,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",127,142,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",127,11.5,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",128,11,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",128,135,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",130,122,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",131,121,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",133,9,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",136,97,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",136,95,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",140,84,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",144,71,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",147,65,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",150,5,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",151,5,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",153,52,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",153,50,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",159,42,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",166,32,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",167,32.5,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",176,24,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",177,24,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",181,16.5,294.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",184,20,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",190,16.5,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",203,11.5,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",203,12,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",217,8,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",237,5.25,303.65,"Freshwater","no"
"Cirrhinus cirrhosus","Cyprinidae",238,5,303.65,"Freshwater","no"
"Citharichthys stigmaeus","Paralichthyidae",80,15,288.15,"Marine","no"
"Clinocottus analis","Cottidae",122,37,293.15,"Marine","no"
"Colossoma macropomum","Serrasalmidae",49,1760,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",50,1240,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",59,1280,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",63,1110,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",63,1150,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",67,2100,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",74,609,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",75,1330,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",76,932,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",76,838,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",79,677,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",83,2100,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",85,677,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",88,609,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",89,2030,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",89,1580,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",89,1580,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",93,932,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",94,609,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",98,492,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",99,1480,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",107,1070,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",108,529,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",108,510,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",111,780,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",112,548,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",116,475,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",119,1040,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",119,932,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",120,780,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",128,899,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",131,1830,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",134,371,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",134,322,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",143,654,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",145,210,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",153,780,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",158,631,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",161,196,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",165,510,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",171,384,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",172,242,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",177,475,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",179,210,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",203,548,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",204,412,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",211,358,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",213,210,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",249,7.53,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",252,289,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",256,111,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",302,21.8,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",306,8.67,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",328,8.99,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",385,24.2,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",397,28,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",405,8.67,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",521,4.75,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",584,26,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",594,2.74,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",621,4.75,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",665,49.2,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",696,24.2,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",744,3.1,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",780,1.32,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",803,1.99,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",955,21,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",1052,1.11,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",1064,1.64,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",1145,1.32,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",1192,0.89,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",1270,1.37,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",1516,1.19,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",1521,0.96,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",1630,1,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",1693,0.8,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",1758,0.67,298.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",2308,1.07,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",2879,0.49,303.15,"Freshwater","no"
"Colossoma macropomum","Serrasalmidae",3328,0.34,303.15,"Freshwater","no"
"Conger conger","Congridae",86,545,286.15,"Marine","no"
"Conger conger","Congridae",104,160,291.65,"Marine","no"
"Conger conger","Congridae",108,148.3,289.15,"Marine","no"
"Conger conger","Congridae",120,108,291.65,"Marine","no"
"Conger conger","Congridae",140,80,291.65,"Marine","no"
"Coregonus autumnalis","Salmonidae",183,175,280.15,"Marine","no"
"Coregonus autumnalis","Salmonidae",190,130,279.85,"Marine","no"
"Coregonus autumnalis","Salmonidae",235,157,280.35,"Marine","no"
"Coregonus fera","Salmonidae",600,0.11,287.15,"Freshwater","no"
"Coregonus fera","Salmonidae",667,0.11,287.15,"Freshwater","no"
"Coregonus sardinella","Salmonidae",200,200,282.15,"Marine","no"
"Coregonus sardinella","Salmonidae",207,175,282.15,"Marine","no"
"Coregonus sardinella","Salmonidae",234,143,282.55,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",1422,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",1947,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",2543,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",3376,0.02,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",3563,0.04,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",3838,0.05,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",4109,0.05,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",4114,0.09,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",4239,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",4373,0.04,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",4591,0.02,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",4750,0.08,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",5044,0.05,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",5128,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",5145,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",5445,0.08,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",5588,0.05,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",5879,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",5927,0.06,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",6008,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",6346,0.06,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",6360,0.05,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",6615,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",6683,0.08,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",6739,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",6795,0.06,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",6837,0.07,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",6880,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",7023,0.14,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",7046,0.05,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",7053,0.04,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",7351,0.09,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",7523,0.07,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",7661,0.08,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",7734,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",7862,0.05,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",8051,0.14,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",8135,0.2,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",8425,0.36,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",8455,0.06,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",8656,0.09,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",8783,0.08,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",8948,0.05,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",9059,0.24,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",9183,0.03,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",9325,0.2,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",9658,0.36,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",9699,0.24,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",10236,0.06,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",10341,0.36,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",10407,0.09,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",10769,0.05,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",10960,0.06,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",10981,0.21,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",11118,0.24,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",11854,0.36,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",11930,0.09,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",12474,0.07,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",12564,0.06,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",13202,0.21,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",13933,0.11,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",14550,0.36,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",15578,0.36,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",15677,0.09,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",17100,0.11,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",17677,0.06,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",17858,0.36,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",19160,0.29,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",22797,0.43,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",26134,0.43,296.15,"Marine","no"
"Coryphaena equiselis","Coryphaenidae",26959,0.29,296.15,"Marine","no"
"Coryphaena hippurus","Coryphaenidae",450,0.9,286.65,"Marine","no"
"Coryphaenoides armatus","Macrouridae",4,1200,276.15,"Marine","no"
"Coryphaenoides armatus","Macrouridae",4,700,276.15,"Marine","no"
"Coryphaenoides armatus","Macrouridae",5,500,276.15,"Marine","no"
"Cottus gobio","Cottidae",355,2.9,291.15,"Freshwater","no"
"Ctenopharyngodon idella","Cyprinidae",110,16.05,295.15,"Freshwater","no"
"Ctenopharyngodon idella","Cyprinidae",120,16.05,295.15,"Freshwater","no"
"Ctenopharyngodon idella","Cyprinidae",150,16.05,295.15,"Freshwater","no"
"Ctenopharyngodon idella","Cyprinidae",750,0.1,295.15,"Freshwater","no"
"Ctenopharyngodon idella","Cyprinidae",760,0.1,295.15,"Freshwater","no"
"Cubiceps whiteleggii","Nomeidae",650,1.3,286.65,"Marine","no"
"Cyclothone acclinidens","Gonostomatidae",119,0.87,276.15,"Marine","no"
"Cyclothone acclinidens","Gonostomatidae",137,0.52,276.15,"Marine","no"
"Cyclothone acclinidens","Gonostomatidae",184,0.23,276.15,"Marine","no"
"Cyclothone microdon","Gonostomatidae",23,0.78,273.45,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",170,2.4,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",219,2.4,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",245,2.4,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",275,1.3,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",307,0.6,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",329,1.3,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",370,2.4,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",404,1.3,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",442,0.6,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",568,0.6,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",638,1.3,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",880,2.14,288.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",1052,0.6,298.15,"Marine","no"
"Cyprinodon variegatus variegatus","Cyprinodontidae",1447,0.6,298.15,"Marine","no"
"Cyprinus carpio","Cyprinidae",21,100,283.15,"Freshwater","no"
"Cyprinus carpio","Cyprinidae",33,10,292.15,"Freshwater","no"
